location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-01T00:12:53+00:00,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">This forecast is based on very few field observations and a high level of uncertainty exists. A conservative approach to terrain selection is critical until more snowpack data becomes available.</span></p>",Due to the number of field observations
Northwest Coastal,2017-11-30T23:54:43+00:00,considerable,considerable,moderate,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The recent stormy weather has dumped as much as 110 cm of new snow on last week's crust. This has created reactive storm slabs and there have been reports of large avalanches. </span><span class=""s_1681A555"">Use a conservative approach and terrain selection.</span></p>",Due to the number and quality of field observations
Northwest Inland,2017-12-01T00:39:58Z,considerable,considerable,moderate,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The late October crust near the base of the snowpack is reactive to rider triggers producing large avalanches. You could trigger this from a significant distance away. Heads up out there as this problem will likely persist. </span></p>",Due to the number and quality of field observations
Sea To Sky,2017-12-01T00:16:19+00:00,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Successive moderate storms will keep danger elevated, particularly in steep, wind-affected terrain. If the 24 hour snow amounts exceed 25 cm, bump avalanche danger up by one rating.</span></p>",Intensity of incoming weather systems is uncertain
South Coast Inland,2017-12-01T00:36:20+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Generally the hazard comprises small wind slabs in exposed areas. If storm amounts come in greater than indicated in the weather discussion, use additional caution and modify your objectives accordingly.</span></p>",Intensity of incoming weather systems is uncertain
South Coast,2017-12-01T00:25:35+00:00,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Watch new snow amounts carefully. If more than 30 cm new snow falls overnight by Friday morning, consider the danger to be HIGH.</span></p>",Intensity of incoming weather systems is uncertain on Friday
North Columbia,2017-12-01T00:06:46Z,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_1681A555"">This forecast is based on very few field observations and a high level of uncertainty exists. A conservative approach to terrain selection is critical until more snowpack data becomes available.</span></p>",Due to the number of field observations
South Columbia,2017-12-01T00:01:38+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_1681A555"">This forecast is based on very few field observations and a high level of uncertainty exists. A conservative approach to terrain selection is critical until more snowpack data becomes available.</span></p>",Due to the number of field observations
Purcells,2017-12-01T00:16:27+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_1681A555"">This forecast is based on very few field observations and a high level of uncertainty exists. A conservative approach to terrain selection is critical until more snowpack data becomes available.</span></p>",Due to the number of field observations
Kootenay Boundary,2017-12-01T00:25:33+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span><span class=""s_D8EBC9B4"">This forecast is based on very few field observations and a high level of uncertainty exists. A conservative approach to terrain selection is critical until more snowpack data becomes available.</span></p>",Due to the number of field observations
South Rockies,2017-12-01T00:52:25Z,considerable,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The snowpack remains highly variable with few reports from the region. Reactive wind slabs may exist at upper elevations, as well as several deeper weak layers buried in the snowpack. Use a conservative approach and terrain selection. </span></p>",Due to the number and quality of field observations
Lizard Range and Flathead,2017-12-01T00:47:09+00:00,considerable,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_1681A555"">The snowpack remains highly variable with few reports from the region. Reactive wind slabs may exist at upper elevations and new snow amounts may be higher than forecast. Use a conservative approach to terrain selection. </span><span class=""s_AA239A9B""> </span></p>",Due to the number and quality of field observations
"Kananaskis Country, Alberta Parks",2017-12-01T23:00:00Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Surprisingly good skiing in sheltered alpine &amp; treeline areas today. Near the divide seems to have the deepest snow. There were some small sluffs today in steep terrain. These could be a problem in larger terrain features. </span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
